OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
16020232,2/6/16,2:12:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Boggs Building Lot (North),760,,State Street  NW,,,1
16020244,2/6/16,21:00:00,2/7/16,10:00:00,2308,Larceny - From Building,Inactive,,ONCAM,Z3,Clough Undergraduate Learning Center,266,,Fourth Street NW,33.7746818,-84.39637939,1
16020294,2/15/16,11:26:00,2/15/16,11:32:00,2305,Larceny - Articles from Vehicle,Inactive,,ONCAM,Z1,Institute of Paper Science 2 (IPST2)   850   Z1,575,,Fourteenth Street NW,33.78679319,-84.40621454,1
16020302,2/12/16,13:42:00,,,5309,Harassing Communication,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Dancord Building   826   Z2,756,,West Peachtree Street NW,33.77526083,-84.38763618,1
16020322,2/18/16,22:00:00,2/18/16,22:15:00,5308,False Fire Alarm,Closed/Cleared,,ONCAMRES,Z2,Howell Residence Hall   10   Z2,640,,Williams Street  NW,33.77213571,-84.39098413,1
16010016,1/5/16,16:28:00,1/5/16,16:45:00,2408,Possession of Stolen Vehicle,Closed/Cleared,Cleared by Arrest,NONCLERY,Z1,Northside Drive  NW at 16th Street  NW,,,,,,1
16010032,1/7/16,16:00:00,1/8/16,8:20:00,5707,Criminal Trespass,Inactive,,ONCAMRES,Z1,Center Street Apartments   132  Z1,939,,Hemphill Avenue  NW,33.78005124,-84.40198786,1
16010061,1/13/16,22:00:00,1/14/16,9:30:00,2317,Larceny - Bicycle,Inactive,,ONCAM,Z2,NAA Dining Hall,120,,North Avenue  NW,33.77101,-84.3913,1
16010071,1/13/16,18:50:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z1,Graduate Living Center,301,,Tenth Street NW,33.78195744,-84.39660566,1
16010086,1/16/16,22:30:00,1/17/16,1:30:00,5311,Disorderly Conduct,Closed/Cleared,Cleared by Arrest,ONCAMRES,Z4,Woodruff Residence Hall South,890,,Curran Street NW,,,1
16010176,1/29/16,10:45:00,1/29/16,11:30:00,2308,Larceny - From Building,Inactive,,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive NW,33.77413608,-84.39881802,1
16010190,1/31/16,2:50:00,1/31/16,3:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z4,Crecine Residence Hall,900,,Hemphill Avenue   NW,33.7800571,-84.40351893,1
16020206,2/3/16,15:10:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library   77   Z2,704,,Cherry Street NW,33.77431732,-84.39572383,1
16020215,2/4/16,13:30:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Clough Undergraduate Learning,266,,Fourth Street  NW,33.77889662,-84.39603609,1
16020218,2/4/16,16:45:00,,,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,,,,Bobby Dodd Way @ Brittain Drive,,,1
16020222,2/5/16,4:14:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,Prosecution Declined,ONCAMRES,Z4,Fitten Residence Hall   119   Z4,855,,McMillan Street  NW,33.77822144,-84.40373472,1
16020226,2/5/16,15:12:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library   77   Z2,704,,Cherry Street NW,33.77431732,-84.39572383,1
16010062,1/14/16,9:15:00,1/14/16,11:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,College of Architecture,245,,Fourth Street,,,1
16010069,1/15/16,8:55:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Georgia Tech Hotel & Conference Center   171  Z2,800,,Spring Street  NW,33.77634325,-84.38930792,1
16010085,1/16/16,23:35:00,1/17/16,0:00:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,North Avenue Apartments  191  Z2,120,,North Avenue NW,33.77011984,-84.39135352,1
16010104,1/19/16,15:16:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Library   77   Z2,704,,Cherry Street NW,33.77431732,-84.39572383,1
16010111,1/20/16,18:30:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,Towers Residence Hall,112,,Bobby Dodd Way  NW,33.77343233,-84.39100012,1
16010118,1/21/16,22:30:00,1/21/16,23:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,North Avenue Apartments East Building,120,,North Avenue   NW,,,1
16010124,1/23/16,2:05:00,1/23/16,2:50:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z4,Montag Residence Hall,845,,McMillan Street  NW,33.77786259,-84.40391086,1
16010130,1/24/16,1:05:00,1/24/16,1:20:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,NONCAM,Z2,Chi Psi,150,,Fourth Street  NW,,,1
